id,person_id,hotel_checkin_id,suspicious_activity
1,1,45,Requested extra towels
2,2,12,
3,3,78,Used the hotel gym
4,4,23,Ordered room service
5,5,56,
6,6,34,Spotted entering late at night
7,7,89,Seen arguing with an unknown person
8,8,2,Left suddenly at 3 AM
9,9,67,Requested wake-up call
10,10,91,
11,11,15,Had breakfast at hotel restaurant
12,12,88,
13,13,33,Used valet parking
14,14,76,
15,15,44,Asked for directions to beach
16,16,29,Used the business center
17,17,82,
18,18,51,Requested city map
19,19,93,
20,20,38,Used concierge service
21,21,5,
22,22,71,Borrowed pool towels
23,23,19,Asked about checkout time
24,24,84,
25,25,47,Used hotel vending machine
26,26,63,
27,27,31,Requested newspaper delivery
28,28,95,
29,29,22,Used hotel restaurant
30,30,86,
31,31,41,Asked about room service menu
32,32,73,Used the elevator
33,33,8,
34,34,59,Requested fresh towels
35,35,27,
36,36,92,Used hotel parking
37,37,16,
38,38,83,Asked about laundromat service
39,39,54,Used ice machine
40,40,37,
41,41,69,Requested extra soap
42,42,11,
43,43,75,Used hotel phone
44,44,48,
45,45,94,Asked about check-in time
46,46,25,Used lobby restroom
47,47,61,
48,48,14,Requested room cleaning
49,49,87,
50,50,36,Used hotel elevator
51,51,72,
52,52,3,Asked about breakfast hours
53,53,58,Used hotel gym
54,54,96,
55,55,43,Requested extra pillows
56,56,81,
57,57,28,Used hotel restaurant
58,58,65,
59,59,17,Asked about local attractions
60,60,90,Used vending machine
61,61,52,
62,62,39,Requested taxi service
63,63,77,
64,64,21,Used hotel lobby
65,65,85,Asked about pool hours
66,66,49,
67,67,6,Used hotel VIP parking space
68,68,62,
69,69,35,Requested room key replacement
70,70,88,
71,71,13,Used hotel gym
72,72,57,Asked about checkout process
73,73,97,
74,74,42,Used hotel parking
75,75,79,
76,76,24,Requested wake-up call
77,77,66,
78,78,9,Used hotel restaurant
79,79,53,Asked about room service
80,80,98,
81,81,32,Used business center
82,82,74,
83,83,18,Requested extra towels
84,84,60,
85,85,4,Used hotel pool
86,86,55,
87,87,99,Asked about food service
88,88,46,Used valet service
89,89,80,
90,90,26,Requested room cleaning
91,91,68,
92,92,7,Used hotel gym
93,93,50,
94,94,91,Asked about breakfast
95,95,30,
96,96,64,Used hotel restaurant
97,97,20,
98,98,86,Requested extra pillows
99,99,40,
100,100,70,Used concierge service
101,101,45,Asked for room service menu
102,102,12,
103,103,78,Used the spa facilities
104,104,23,Requested late checkout
105,105,56,
106,106,34,Used the business center
107,107,89,
108,108,2,Asked about local tours
109,109,67,Used the gym
110,110,91,
111,111,15,Requested airport shuttle
112,112,88,
113,113,33,Used room service
114,114,76,
115,115,44,Asked for extra blankets
116,116,29,Used the pool
117,117,82,
118,118,51,Requested wake-up call
119,119,93,
120,120,38,Used valet parking
121,121,5,
122,122,71,Asked about restaurant hours
123,123,19,Used the fitness center
124,124,84,
125,125,47,Requested room cleaning
126,126,63,
127,127,31,Used the conference room
128,128,95,
129,129,22,Asked for extra towels
130,130,86,
131,131,41,Used the sauna
132,132,73,Requested taxi service
133,133,8,
134,134,59,Used the bar
135,135,27,
136,136,92,Asked about local attractions
137,137,16,
138,138,83,Used room service
139,139,54,Requested extra pillows
140,140,37,
141,141,69,Used the gym
142,142,11,
143,143,75,Asked about checkout time
144,144,48,
145,145,94,Used the pool
146,146,25,Requested room service
147,147,61,
148,148,14,Used valet parking
149,149,87,
150,150,36,Asked for directions
151,151,72,
152,152,3,Used the business center
153,153,58,Requested wake-up call
154,154,96,
155,155,43,Used the restaurant
156,156,81,
157,157,28,Broke the vending machine
158,158,65,
159,159,17,Used the gym
160,160,90,Requested room cleaning
161,161,52,
162,162,39,Used the spa
163,163,77,
164,164,21,Asked for extra towels
165,165,85,Used room service
166,166,49,
167,167,6,Requested late checkout
168,168,62,
169,169,35,Used the conference room
170,170,88,
171,171,13,Asked about local tours
172,172,57,Used the pool
173,173,97,
174,174,42,Requested airport shuttle
175,175,79,
176,176,24,Used the fitness center
177,177,66,
178,178,9,Asked for extra blankets
179,179,53,Used valet parking
180,180,98,
181,181,32,Requested room service
182,182,74,
183,183,18,Used the sauna
184,184,60,
185,185,4,Asked about restaurant hours
186,186,55,
187,187,99,Used the bar
188,188,46,Requested taxi service
189,189,80,
190,190,26,Used the gym
191,191,68,
192,192,7,Asked for directions
193,193,50,
194,194,91,Used room service
195,195,30,
196,196,64,Requested wake-up call
197,197,20,
198,198,86,Used the business center
199,199,40,
200,200,70,Asked about checkout time
