id,guest_id,note
1,1,"black tuxedo, emerald cufflinks"
2,2,"navy suit, red tie"
3,3,"red gown, diamond necklace"
4,4,"navy suit, blue tie"
5,156,"purple evening gown, sapphire earrings"
6,23,"navy suit, green tie"
7,189,"black velvet dress, gold bracelet"
8,45,"navy suit, yellow tie"
9,167,"emerald gown, diamond choker"
10,34,"navy suit, purple tie"
11,178,"blue silk dress, pearl necklace"
12,12,"navy suit, orange tie"
13,190,"red sequin gown, ruby earrings"
14,87,"navy suit, burgundy tie"
15,145,"navy suit, silver tie"
16,89,"navy suit, gold tie"
17,112,"gold evening gown, topaz necklace"
18,167,"navy suit, crimson tie"
19,134,"silver cocktail dress, diamond bracelet"
20,178,"navy suit, navy tie"
21,156,"champagne gown, crystal earrings"
22,190,"navy suit, maroon tie"
23,123,"maroon velvet dress, gold choker"
24,145,"navy suit, teal tie"
25,189,"navy evening gown, sapphire pendant"
26,112,"navy suit, black tie"
27,167,"burgundy dress, diamond drop earrings"
28,134,"navy suit, emerald tie"
29,178,"emerald silk gown, crystal bracelet"
30,156,"navy suit, white tie"
31,190,"red velvet dress, pearl choker"
32,123,"navy suit, grey tie"
33,145,"silver gown, emerald earrings"
34,189,"navy suit, brown tie"
35,112,"purple silk dress, sapphire bracelet"
36,167,"navy suit, coral tie"
37,134,"black lace gown, ruby necklace"
38,178,"burgundy suit, pearl tie clip"
39,156,"gold cocktail dress, diamond pendant"
40,190,"charcoal tuxedo, emerald studs"
41,123,"blue evening gown, topaz earrings"
42,145,"navy suit, white tie"
43,189,"red silk dress, crystal choker"
44,112,"navy suit, onyx tie pin"
45,167,"emerald velvet gown, pearl bracelet"
46,134,"grey tuxedo, diamond cufflinks"
47,178,"champagne dress, ruby pendant"
48,105,"navy suit, white tie"
49,190,"maroon evening gown, emerald necklace"
50,123,"black tuxedo, crystal tie clip"
51,145,"silver silk dress, sapphire choker"
52,189,"navy pinstripe suit, pearl tie pin"
53,112,"navy suit, white tie"
54,167,"charcoal suit, ruby cufflinks"
55,134,"burgundy velvet dress, onyx pendant"
56,178,"cream tuxedo, emerald studs"
57,156,"black lace gown, gold earrings"
58,190,"navy suit, white tie"
59,123,"blue cocktail dress, pearl necklace"
60,145,"white suit, sapphire cufflinks"
61,189,"navy suit, white tie"
62,112,"navy tuxedo, topaz tie pin"
63,167,"navy suit, white tie"
64,134,"black pinstripe suit, pearl studs"
65,178,"gold velvet gown, crystal pendant"
66,156,"burgundy suit, emerald cufflinks"
67,190,"navy suit, white tie"
68,123,"charcoal tuxedo, diamond tie clip"
69,145,"champagne silk gown, sapphire earrings"
70,189,"black velvet dress, pearl bracelet"
71,112,"navy suit, ruby cufflinks"
72,167,"red lace gown, crystal choker"
73,134,"grey pinstripe suit, emerald tie pin"
74,178,"purple evening gown, diamond pendant"
75,129,"black tuxedo, patent leather dress shoes"
76,190,"emerald velvet dress, gold earrings"
77,123,"burgundy suit, sapphire cufflinks"
78,145,"blue silk gown, pearl necklace"
79,189,"charcoal tuxedo, crystal tie clip"
80,112,"silver cocktail dress, ruby bracelet"
81,167,"black suit, diamond studs"
82,134,"maroon evening gown, emerald choker"
83,178,"navy pinstripe suit, topaz cufflinks"
84,156,"gold lace dress, pearl pendant"
85,190,"grey tuxedo, sapphire tie pin"
86,123,"cream silk gown, onyx bracelet"
87,145,"burgundy velvet suit, crystal studs"
88,189,"black dress, ruby necklace"
89,112,"emerald tuxedo, diamond cufflinks"
90,167,"purple silk dress, gold choker"
91,134,"white suit, pearl tie clip"
92,178,"red evening gown, sapphire pendant"
93,156,"navy velvet tuxedo, emerald studs"
94,190,"charcoal dress, crystal bracelet"
95,123,"silver suit, ruby cufflinks"
96,145,"black lace gown, diamond earrings"
97,189,"burgundy pinstripe suit, onyx tie pin"
98,116,"blue velvet dress, pearl choker"
99,167,"grey tuxedo, gold studs"
100,134,"emerald silk gown, sapphire necklace"
101,178,"white suit, crystal cufflinks"
102,156,"red lace dress, diamond pendant"
103,190,"navy tuxedo, emerald tie clip"
104,123,"purple evening gown, pearl bracelet"
