id,person_id,confession
1,6,I don't know anything about this.
2,7,I was just walking my dog that night.
3,9,Who are you to question me? I'm an innocent man.
4,10,Alright! I confess - I stole those diamonds from the jewelry store.
5,11,I have no idea what you're talking about.
6,12,You've got the wrong person.
7,13,Alright! Fine! I was the one who robbed that bank last month.
8,14,I was home with my family that night.
9,15,"This is ridiculous, I'm innocent!"
10,16,Alright! I admit it - I've been running an illegal gambling ring.
11,17,You can't prove anything.
12,18,I was nowhere near there that night.
13,19,"Alright! Yes, I've been selling counterfeit watches."
14,20,I don't know what you're investigating.
15,21,This is all a misunderstanding.
16,22,Alright! I confess to the art gallery heist!
17,23,I'm just a simple businessman.
18,24,You're wasting your time with me.
19,25,Alright! I've been running a smuggling operation.
20,26,I have an alibi for that night.
21,27,This is harassment!
22,28,Alright! I confess to the car theft ring.
23,29,I was at the movies that evening.
24,30,You've got nothing on me.
25,31,Alright! I've been forging documents.
26,32,I'm an honest citizen.
27,33,Who put you up to this?
28,34,Alright! I confess to the insurance fraud.
29,35,I don't have to answer your questions.
30,36,This is all a mistake.
31,37,Alright! I've been running an illegal betting operation.
32,38,I was out of town that week.
33,39,You're barking up the wrong tree.
34,40,Alright! I confess to the credit card scam.
35,41,I'm a law-abiding citizen.
36,42,This is outrageous!
37,43,Alright! I've been selling stolen electronics.
38,44,I have nothing to say to you.
39,45,"Check my records, I'm clean."
40,46,Alright! I confess to the warehouse break-in.
41,47,I demand to speak to my lawyer.
42,48,You're making a big mistake.
43,49,Alright! I've been running a pyramid scheme.
44,50,I was at work all day.
45,51,This is a waste of time.
46,52,Alright! I confess to hacking the system.
47,53,I'm being framed!
48,54,You've got the wrong guy.
49,55,Alright! I've been selling fake IDs.
50,56,I know nothing about any crime.
51,57,Who told you about me?
52,58,Alright! I confess to the drug trafficking.
53,59,I was asleep at the time.
54,60,This is all circumstantial.
55,61,Alright! I've been running an illegal casino.
56,62,I'm innocent of all charges.
57,63,You can't pin this on me.
58,64,Alright! I confess to the corporate espionage.
59,65,I have witnesses for my whereabouts.
60,66,This is just a coincidence.
61,67,Alright! I've been selling stolen artwork.
62,68,I'm being set up!
63,69,You're on a wild goose chase.
64,70,Alright! I confess to the cybercrime scheme.
65,71,I was with my girlfriend that night.
66,72,This is absurd!
67,73,Alright! I've been running a money laundering operation.
68,74,I'm a respected member of this community.
69,75,You're way off base.
70,76,Alright! I confess to the identity theft ring.
71,77,I have an ironclad alibi.
72,78,This is pure speculation.
73,8,Alright! I did it. I was paid to make sure he never left the marina alive.
74,79,I don't know what you mean.
75,80,You're following false leads.
76,81,Alright! I confess to the tax evasion scheme.
77,82,I was at a party that evening.
78,83,This is all hearsay.
79,84,Alright! I've been running a fake charity scam.
80,85,I have nothing to hide.
81,86,You're making assumptions.
82,87,Alright! I confess to the insider trading.
83,88,I was visiting my mother.
84,89,This is a witch hunt!
85,90,Alright! I've been selling counterfeit goods.
86,91,I'm completely innocent.
87,92,You're following a dead end.
88,93,Alright! I confess to the real estate fraud.
89,94,I have a solid alibi.
90,95,This is all wrong.
91,96,Alright! I've been running an illegal import business.
92,97,I was at the gym that day.
93,98,You're mistaken about me.
94,99,Alright! I confess to the investment scam.
95,100,I'm not involved in any way.
96,101,This is just a misunderstanding.
97,102,Alright! I've been running a blackmail operation.
98,103,I have proof of my innocence.
99,104,You're looking at the wrong person.
100,105,Alright! I confess to the extortion scheme.
