id,crime_scene_id,clue
1,66,"There was a loud crash, and then I saw a person in a leather jacket running away."
2,78,I saw a woman wearing a red scarf walking near the scene.
3,44,
4,75,I saw a person in a blue jacket standing near the crime scene.
5,89,"There was a black car parked nearby, I think it had tinted windows."
6,35,The suspect had a scar on his left cheek and was wearing a black cap.
7,55,
8,12,"I remember hearing footsteps behind me, but I didn’t turn around."
9,44,
10,78,"I saw a man running away with a briefcase, looking very suspicious."
11,102,I noticed a woman in a green dress walking away from the scene.
12,67,There was a red sports car parked by the alley when I passed by.
13,94,
14,33,The suspect was wearing a leather jacket and carrying a bag.
15,53,I heard a loud bang before I saw a man walking quickly away from the building.
16,81,
17,25,A person with a yellow bandana was seen leaving the area.
18,99,I saw a black van parked outside the building around the time of the crime.
19,56,
20,14,The thief was holding a shiny object as he ran down the street.
21,88,I remember a woman in a red dress walking toward the building just before the crime occurred.
22,101,
23,63,A suspicious man in a trench coat was lurking near the crime scene.
24,42,I noticed a person wearing a black hoodie entering the building just before the crime took place.
25,92,
26,27,I saw someone walking away from the scene with a duffel bag.
27,48,The suspect had a silver ring on his finger and was talking to someone on the phone.
28,65,I saw a man wearing a red bandana rushing out of the store.
29,39,
30,59,I saw a man with a blue bandana and sunglasses in the area.
31,83,
32,28,A suspicious man in a gray hoodie was seen leaving the premises quickly.
33,77,I remember seeing a person with a briefcase running toward the exit.
34,49,
35,19,I saw a person with a distinctive tattoo on his neck near the scene.
36,18,The suspect had a black backpack and was walking very fast.
37,24,
38,9,I saw a man with a gold chain on his neck near the scene of the crime.
39,74,There was a woman in a black dress near the scene when it happened.
40,95,
41,40,I heard someone shout and then saw a person in a white coat running away.
42,31,
43,61,A person with a red hat was seen walking quickly away from the building.
44,76,
45,51,I noticed a person in a leather jacket walking towards the alley.
46,86,I saw a person in a blue cap walking by just after the incident.
47,62,
48,41,A person with a black duffel bag ran past me just after the crime happened.
49,13,
50,57,I saw a person wearing a dark trench coat entering the building.
51,50,
52,80,There was a silver car parked near the crime scene when it happened.
53,98,I noticed a person with a blue scarf walking down the street quickly.
54,4,
55,46,I saw a woman in a red dress running down the stairs just after the incident.
56,93,I saw a man with a scar on his face standing near the building.
57,70,A person wearing a brown leather jacket was seen near the scene of the crime.
58,103,
59,71,I noticed a black sedan parked near the entrance of the building.
60,2,
61,100,I saw a man wearing a gray hat standing nearby when the crime occurred.
62,32,A person with a red backpack was near the scene just before the crime.
63,60,
64,69,I saw a person in a black coat walking out of the building with a duffel bag.
65,55,
66,20,I noticed a man in a yellow jacket walking away from the crime scene.
67,64,A man with a black cap was seen standing near the scene of the crime.
68,21,
69,45,I saw a person in a gray jacket running from the crime scene.
70,82,A woman in a white dress was seen near the scene when the crime occurred.
71,73,
72,30,I remember seeing a man in a black hoodie walking away from the building.
73,58,A person with a black jacket was standing near the door just before the crime.
74,15,
75,65,The main thing I remember is that he had a distinctive gold watch on his wrist.
76,17,A man in a blue jacket was running away with a bag after the crime occurred.
77,60,
78,79,I noticed a person in a green hat standing outside the building.
79,38,
80,22,I saw a person with a silver necklace walking down the street quickly.
81,68,A woman in a purple dress was near the scene during the incident.
82,26,
83,7,I saw a person with a black jacket and a hat near the crime scene.
84,47,I remember seeing a person in a white coat walking quickly away from the building.
85,23,
86,3,I saw a person with a red scarf walking near the scene of the crime.
87,36,I noticed a man wearing a gray hoodie and a black backpack near the crime scene.
88,68,
89,29,I saw a woman in a yellow dress walking out of the building.
90,12,I saw a man with a distinctive tattoo on his neck leaving the scene.
91,10,
92,5,I noticed a person in a white jacket near the crime scene just before it happened.
93,43,A man in a black trench coat was seen near the alley during the crime.
94,34,
95,11,I saw a man in a red cap standing near the scene when the crime occurred.
96,27,I noticed a person in a dark suit near the crime scene.
97,42,
98,18,I saw a person with a black jacket standing near the building when the crime happened.
99,74,A person in a green coat was seen leaving the area shortly after the crime.
100,84,
