id,person_id,hotel_name,check_in_date
1,56,Palm Beach Resort,19860814
2,27,Sunset Bay Hotel,19860813
3,57,Blue Wave Inn,19860812
4,58,Ocean View Hotel,19860815
5,84,Palm Bay Inn,19860814
6,59,Marina Bay Resort,19860813
7,12,Sunset Harbor Hotel,19860813
8,60,Coral Cove Inn,19860814
9,61,Sea Breeze Hotel,19860812
10,15,Sunset Palms Resort,19860813
11,62,Island Paradise Resort,19860815
12,17,Sunset Shore Hotel,19860813
13,63,Beach Front Inn,19860813
14,19,Sunset Marina Inn,19860813
15,64,Harbor View Hotel,19860814
16,6,Sunset Inn,19860813
17,65,Coastal Resort,19860812
18,23,Sunset Reef Inn,19860813
19,66,Bay Watch Inn,19860815
20,25,Sunset Lagoon Resort,19860813
21,67,Maritime Hotel,19860813
22,7,Sunset Marina Hotel,19860813
23,68,Seaside Resort,19860814
24,29,Sunset Breeze Hotel,19860813
25,69,Ocean Breeze Inn,19860812
26,31,Sunset Vista Hotel,19860813
27,70,Palm Grove Hotel,19860815
28,33,Sunset Crest Hotel,19860813
29,71,Tropical Paradise Resort,19860813
30,35,Sunset Palms Hotel,19860813
31,72,Beachcomber Inn,19860814
32,37,Sunset Beach Inn,19860813
33,73,Coral Reef Hotel,19860812
34,39,Sunset Coast Inn,19860813
35,74,Marina View Resort,19860815
36,41,Sunset Harbor Inn,19860813
37,75,Sea Shell Inn,19860813
38,43,Sunset Isle Inn,19860813
39,76,Ocean Front Hotel,19860814
40,45,Sunset Reef Hotel,19860813
41,77,Beach Side Resort,19860812
42,47,Sunset Lagoon Hotel,19860813
43,78,Harbor Light Inn,19860815
44,49,Sunset Grove Inn,19860813
45,79,Coastal View Hotel,19860813
46,51,Sunset Dunes Hotel,19860813
47,80,Bay Breeze Resort,19860814
48,53,Sunset Shores Inn,19860813
49,81,Maritime Inn,19860812
50,55,Sunset Haven Hotel,19860813
51,82,Seaside Hotel,19860815
52,9,Sunset Beach Hotel,19860813
53,83,Ocean Paradise Resort,19860813
54,11,Sunset Bay Resort,19860813
55,8,Sunset Palm Resort,19860813
56,13,Sunset View Inn,19860813
57,85,Tropical Breeze Hotel,19860812
58,14,Sunset Coast Hotel,19860813
59,86,Beach Grove Resort,19860815
60,16,Sunset Sands Inn,19860813
61,87,Coral Bay Inn,19860813
62,18,Sunset Beach Resort,19860813
63,88,Marina Light Hotel,19860814
64,20,Sunset Ocean Hotel,19860813
65,89,Sea View Resort,19860812
66,21,Sunset Isle Resort,19860813
67,90,Ocean Crest Inn,19860815
68,22,Sunset Wave Hotel,19860813
69,91,Beach Haven Hotel,19860813
70,24,Sunset Keys Hotel,19860813
71,92,Harbor Breeze Resort,19860814
72,26,Sunset Point Inn,19860813
73,93,Coastal Inn,19860812
74,28,Sunset Grove Resort,19860813
75,94,Bay View Hotel,19860815
76,30,Sunset Dunes Inn,19860813
77,95,Maritime Resort,19860813
78,32,Sunset Shores Resort,19860813
79,96,Seaside Inn,19860814
80,34,Sunset Haven Inn,19860813
81,97,Ocean Light Hotel,19860812
82,36,Sunset Oasis Resort,19860813
83,98,Palm View Resort,19860815
84,38,Sunset Marina Resort,19860813
85,99,Tropical Bay Inn,19860813
86,40,Sunset Bay Lodge,19860813
87,100,Beach Crest Hotel,19860814
88,42,Sunset View Resort,19860813
89,101,Coral View Resort,19860812
90,44,Sunset Wave Resort,19860813
91,102,Marina Paradise Inn,19860815
92,46,Sunset Keys Inn,19860813
93,103,Sea Crest Hotel,19860813
94,48,Sunset Point Resort,19860813
95,104,Ocean Bay Resort,19860814
96,50,Sunset Breeze Resort,19860813
97,105,Beach Light Inn,19860812
98,52,Sunset Vista Resort,19860813
99,10,Sunset Cove Inn,19860813
100,54,Sunset Crest Resort,19860813
101,106,Harbor View Inn,19860814
102,107,Coastal Paradise Resort,19860812
103,108,Marina Bay Hotel,19860815
104,109,Ocean Breeze Inn,19860813
105,110,Palm Beach Resort,19860814
106,111,Seaside Haven Hotel,19860812
107,112,Tropical Shores Inn,19860815
108,113,Beach Walk Resort,19860813
109,114,Coral Reef Hotel,19860814
110,115,Maritime Lodge,19860812
111,116,Ocean Front Inn,19860815
112,117,Sea Shell Resort,19860813
113,118,Bay Breeze Hotel,19860814
114,119,Coastal View Inn,19860812
115,120,Harbor Light Resort,19860815
116,121,Marina Cove Hotel,19860813
117,122,Ocean Mist Inn,19860814
118,123,Palm Grove Resort,19860812
119,124,Seaside Oasis Hotel,19860815
120,125,Tropical Bay Resort,19860813
121,126,Beach Haven Inn,19860814
122,127,Coral Cove Hotel,19860812
123,128,Maritime View Resort,19860815
124,129,Ocean Side Inn,19860813
125,130,Sea Breeze Hotel,19860814
126,131,Bay View Lodge,19860812
127,132,Coastal Light Resort,19860815
128,133,Harbor Crest Inn,19860813
129,134,Marina View Hotel,19860814
130,135,Ocean Paradise Inn,19860812
131,136,Palm Beach Lodge,19860815
132,137,Seaside Light Resort,19860813
133,138,Tropical Cove Hotel,19860814
134,139,Beach Breeze Inn,19860812
135,140,Coral Light Resort,19860815
136,141,Maritime Bay Hotel,19860813
137,142,Ocean View Lodge,19860814
138,106,Sea Crest Inn,19860812
139,107,Bay Light Resort,19860815
140,108,Coastal Paradise Hotel,19860813
141,109,Harbor View Lodge,19860814
142,110,Marina Light Inn,19860812
143,111,Ocean Breeze Resort,19860815
144,112,Palm Grove Hotel,19860813
145,113,Seaside View Inn,19860814
146,114,Tropical Light Resort,19860812
147,115,Beach Cove Hotel,19860815
148,116,Coral Bay Lodge,19860813
149,117,Maritime View Inn,19860814
150,118,Ocean Light Resort,19860812
