id,person_id,transcript
1,127,I saw a suspicious man in a black coat running from the marina that night.
2,45,
3,189,The victim was arguing with someone at the bar earlier that evening.
4,23,
5,156,I heard gunshots around midnight near the docks.
6,78,
7,134,
8,12,
9,167,The victim seemed nervous and kept looking over his shoulder all day.
10,89,
11,145,I noticed someone tampering with one of the boats earlier that afternoon.
12,34,
13,178,There was a heated discussion about money near warehouse B.
14,56,
15,123,I saw someone throwing something into the water around 2 AM.
16,67,
17,190,The security cameras were mysteriously disabled that night.
18,43,
19,112,A silver briefcase exchanged hands behind the fuel station.
20,88,
21,156,Someone in a fishing boat was acting strangely near the crime scene.
22,32,
23,167,I heard a loud argument in a foreign language before everything went quiet.
24,91,
25,145,The victim met with someone wearing a distinctive red cap.
26,78,
27,134,There were unusual movements near dock C around midnight.
28,22,
29,189,I saw someone cleaning blood off their hands near the bait shop.
30,45,
31,167,A group of men were acting suspiciously near the storage units.
32,98,
33,123,The victim received a threatening phone call at the marina office.
34,56,
35,178,Someone was taking photos of the victim throughout the day.
36,34,
37,156,I noticed a briefcase being passed between two people in the parking lot.
38,89,
39,145,There was an unfamiliar yacht docked that disappeared after the incident.
40,67,
41,134,The victim seemed distressed after meeting someone near the fuel dock.
42,23,
43,189,I overheard a conversation about a deal gone wrong.
44,78,
45,167,Someone was watching the marina through binoculars from across the bay.
46,45,
47,123,A suspicious package changed hands near the ice machine.
48,91,
49,156,The victim was seen arguing with someone on their phone.
50,34,
51,178,I saw someone disposing of documents in the marina dumpster.
52,67,
53,145,There were unusual diving activities near dock D that night.
54,89,
55,134,Someone in a maintenance uniform was acting suspiciously.
56,23,
57,189,I heard someone threatening the victim earlier that day.
58,56,
59,167,A black SUV was parked at the marina all night without anyone inside.
60,78,
61,123,The victim met with multiple people throughout the evening.
62,45,
63,156,Someone was seen carrying a heavy bag to their boat late at night.
64,91,
65,145,I noticed someone tampering with the victims boat.
66,34,
67,178,There was a confrontation near the fish cleaning station.
68,67,
69,134,Someone unfamiliar was asking questions about the victim.
70,23,
71,189,I saw a flashlight moving around the closed marina office.
72,56,
73,167,The security guard was missing from his post during the incident.
74,89,
75,123,A mysterious package was delivered to the victims boat.
76,78,
77,156,Someone was seen running from the scene carrying a duffel bag.
78,45,
79,145,The victim appeared to be following someone earlier that day.
80,34,
81,178,I heard a splash followed by a scream near midnight.
82,91,
83,134,Someone suspicious was loitering near the victims boat all evening.
84,67,
85,189,The victim was seen exchanging envelopes with an unknown person.
86,23,
87,167,A boat left the marina without proper lighting after hours.
88,56,
89,123,I saw someone wearing gloves despite the warm weather.
90,78,
91,156,The victim had an intense discussion near the fuel pumps.
92,45,
93,145,Someone unfamiliar was watching the marina from their car.
94,89,
95,134,I noticed someone signaling with a flashlight from their boat.
96,34,
97,178,The victim received a suspicious package earlier that day.
98,67,
99,189,Someone was seen climbing onto boats after hours.
100,23,
101,101,I saw someone check into a hotel on August 13. The guy looked nervous.
102,58,
103,102,"I heard someone checked into a hotel with ""Sunset"" in the name."
104,58,
105,104,"I just mind my business, detective."
106,58,
107,105,I didn’t do anything. Ask Raul. He knows more.
108,58,
109,106,A boat engine was running unusually late that night.
110,58,
111,7,
112,58,
113,8,
114,58,
115,9,There was an argument near slip 42 around sunset.
116,58,
117,10,A speedboat left the marina at high speed after midnight.
118,58,
119,11,Someone disabled the dock lights in section C.
120,58,
121,12,I heard breaking glass coming from the marina office.
122,58,
123,13,A suspicious package changed hands near the fuel dock.
124,58,
125,14,Multiple people were seen entering the victims boat.
126,58,
127,15,Someone tampered with the security cameras.
128,58,
129,16,A duffel bag was thrown into the water late at night.
130,58,
131,17,The victim seemed agitated during a phone call.
132,58,
133,18,Strange lights were seen from an anchored boat.
134,58,
135,19,Someone was searching the victims car in the parking lot.
136,58,
137,20,A heated argument broke out near the bait shop.
138,58,
139,21,Multiple boats left the marina without proper clearance.
140,58,
141,22,Someone was seen cleaning unusual stains from their deck.
142,58,
143,23,A suspicious meeting took place near the ice machine.
144,58,
145,24,The victim received several threatening phone calls.
146,58,
147,25,Someone broke into the harbormasters office.
148,58,
149,26,A briefcase was exchanged near dock B.
150,58,
151,27,Unusual activity was spotted on the security feeds.
152,58,
153,28,Someone disabled the docks security system.
154,58,
155,29,A boat was hastily cleaned in the early morning.
156,58,
157,30,Multiple people fled the scene after the incident.
158,58,
159,31,The victim met with someone in a black suit.
160,58,
161,32,Strange noises were heard from the storage area.
162,58,
163,33,Someone tampered with the victims boat engine.
164,58,
165,34,A suspicious vehicle circled the marina repeatedly.
166,58,
167,35,Multiple people were seen running from the crime scene.
168,58,
169,36,Someone disposed of evidence in the dumpster.
170,58,
171,37,The security cameras were deliberately turned off.
172,58,
173,38,A confrontation occurred near the fish cleaning station.
174,58,
175,39,Someone accessed the marina after hours.
176,58,
177,40,The victim appeared distressed before the incident.
178,58,
179,41,Multiple boats were damaged that night.
180,58,
181,42,Someone was seen wearing suspicious clothing.
182,58,
183,43,A group of people gathered suspiciously near dock C.
184,58,
185,44,The victim had an altercation with an unknown person.
186,58,
187,45,Someone tampered with the surveillance equipment.
188,58,
189,46,Multiple witnesses reported unusual activity.
190,58,
191,47,A suspicious package was found floating in the water.
