id,guest_id,clue
1,123,I was walking my dog when I saw someone suspicious climbing through the window of the research greenhouse late at night.
2,45,"While working the late shift, I distinctly heard the sound of breaking glass coming from the east wing of the building."
3,167,"During my evening jog, I noticed a black van parked outside with its lights off for over two hours."
4,23,"I remember smelling something burning around midnight, which seemed very unusual for that time."
5,91,"As I was closing up shop, I saw three people in dark clothes running from the back entrance."
6,34,"From my apartment window, I watched someone tampering with the security cameras using some kind of tool."
7,67,"During my security rounds, I heard loud banging noises coming from the storage area around 2 AM."
8,89,I spotted a person wearing a maintenance uniform at an odd hour when no maintenance was scheduled.
9,12,"While walking home, I saw someone throwing what looked like documents into a dumpster behind the building."
10,56,I heard an alarm going off briefly before it was suddenly silenced in an unusual way.
11,78,"From my balcony, I observed someone picking the lock on the side entrance using professional tools."
12,34,"During my night shift, I noticed the security cameras were showing looped footage of empty hallways."
13,90,I saw a group of people loading large crates into a white truck around midnight.
14,23,"While closing up the cafe across the street, I witnessed someone disabling the exterior lights systematically."
15,45,I heard what sounded like power tools being used inside the building well past closing time.
16,116,"I saw someone holding an invitation ending with ""-R"". He was wearing a navy suit and a white tie."
17,89,I noticed the alarm system was already disabled when I arrived for my morning shift at 5 AM.
18,12,"During my evening walk, I saw multiple flashlights moving around inside the closed building."
19,34,I remember hearing a heated argument in a foreign language coming from the parking garage.
20,56,"While delivering packages, I noticed the side door had fresh scratch marks around the lock."
21,78,I saw someone repeatedly taking photos of the buildings security camera locations earlier that day.
22,90,"During my shift at the coffee shop, I overheard someone discussing detailed plans of the buildings layout."
23,23,I noticed a ladder propped against the back wall near the second-floor window around dusk.
24,45,"From my taxi, I saw someone wearing a ski mask despite the warm weather entering the building."
25,67,I heard the sound of glass breaking followed by quick footsteps around 1 AM.
26,89,"While walking my dog, I noticed unfamiliar vehicles parked in the staff-only area."
27,12,I saw someone copying what looked like security codes near the entrance keypad.
28,34,"During my night patrol, I found fresh tire tracks leading to the normally unused loading dock."
29,56,I witnessed someone in a delivery uniform but the company logo looked obviously fake.
30,78,"From my window, I saw people loading artwork into an unmarked van at 3 AM."
31,90,I noticed the security lights were deliberately covered with some kind of dark material.
32,23,"While cleaning the windows, I saw someone testing different keys on the back entrance."
33,45,I heard unusual drilling sounds coming from the vault area after hours.
34,67,"During my evening run, I saw multiple people wearing identical outfits entering through different doors."
35,89,I noticed someone taking detailed notes while observing the guard rotation schedule.
36,12,"From my desk, I saw a person in a maintenance uniform but they seemed unfamiliar with the basic layout."
37,34,I heard what sounded like radio communications in code coming from the parking structure.
38,56,"While delivering mail, I noticed the security panel had been recently tampered with."
39,78,I saw someone photographing the employee entrance during shift changes.
40,90,"During my break, I noticed a suspicious person monitoring the security patrol patterns."
41,23,I observed someone attempting to access the roof through the fire escape.
42,45,"From my apartment, I saw flashlights moving through the building long after closing."
43,67,I heard the sound of spray paint cans being used inside the closed gallery.
44,89,"While closing up, I noticed someone had propped open several emergency exits."
45,12,I saw a group of people wearing masks entering through the service entrance.
46,34,"During my shift, I noticed the security cameras were being systematically redirected."
47,56,I heard unusual beeping sounds coming from the alarm control panel.
