id,incident_id,employee_id,statement
1,,123,I was walking my dog when I saw someone suspicious climbing through the window of the research greenhouse late at night.
2,,45,"While working the late shift, I distinctly heard the sound of breaking glass coming from the east wing of the building."
3,78,267,"During my evening jog, I noticed a black van parked outside with its lights off for over two hours."
4,,189,"I remember smelling something burning around midnight, which seemed very unusual for that time."
5,91,78,"As I was closing up shop, I saw three people in dark clothes running from the back entrance."
6,34,156,"From my apartment window, I watched someone tampering with the security cameras using some kind of tool."
7,67,234,"During my security rounds, I heard loud banging noises coming from the storage area around 2 AM."
8,,167,I spotted a person wearing a maintenance uniform at an odd hour when no maintenance was scheduled.
9,12,89,"While walking home, I saw someone throwing what looked like documents into a dumpster behind the building."
10,56,245,I heard an alarm going off briefly before it was suddenly silenced in an unusual way.
11,,134,"From my balcony, I observed someone picking the lock on the side entrance using professional tools."
12,,67,"During my night shift, I noticed the security cameras were showing looped footage of empty hallways."
13,,290,I saw a group of people loading large crates into a white truck around midnight.
14,23,178,"While closing up the cafe across the street, I witnessed someone disabling the exterior lights systematically."
15,,56,I heard what sounded like power tools being used inside the building well past closing time.
16,,145,"From my office window, I saw someone in a security uniform but they were wearing sneakers instead of regulation boots."
17,,99,"That day, I received an email from a colleague saying something was wrong with the alarm system. I went to check it out, but didn’t find anything unusual."
18,,190,"During my evening walk, I saw multiple flashlights moving around inside the closed building."
19,34,12,I remember hearing a heated argument in a foreign language coming from the parking garage.
20,56,278,"While delivering packages, I noticed the side door had fresh scratch marks around the lock."
21,78,90,I saw someone repeatedly taking photos of the buildings security camera locations earlier that day.
22,90,34,"During my shift at the coffee shop, I overheard someone discussing detailed plans of the buildings layout."
23,23,267,I noticed a ladder propped against the back wall near the second-floor window around dusk.
24,45,156,"From my taxi, I saw someone wearing a ski mask despite the warm weather entering the building."
25,67,123,I heard the sound of glass breaking followed by quick footsteps around 1 AM.
26,89,45,"While walking my dog, I noticed unfamiliar vehicles parked in the staff-only area."
27,12,267,I saw someone copying what looked like security codes near the entrance keypad.
28,34,189,"During my night patrol, I found fresh tire tracks leading to the normally unused loading dock."
29,56,78,I witnessed someone in a delivery uniform but the company logo looked obviously fake.
30,78,156,"From my window, I saw people loading artwork into an unmarked van at 3 AM."
31,90,234,I noticed the security lights were deliberately covered with some kind of dark material.
32,23,167,"While cleaning the windows, I saw someone testing different keys on the back entrance."
33,45,89,I heard unusual drilling sounds coming from the vault area after hours.
34,,245,"During my evening run, I saw multiple people wearing identical outfits entering through different doors."
35,89,134,I noticed someone taking detailed notes while observing the guard rotation schedule.
36,12,67,"From my desk, I saw a person in a maintenance uniform but they seemed unfamiliar with the basic layout."
37,34,290,I heard what sounded like radio communications in code coming from the parking structure.
38,56,178,"While delivering mail, I noticed the security panel had been recently tampered with."
39,78,56,I saw someone photographing the employee entrance during shift changes.
40,74,145,I heard someone mention a server in Helsinki.
41,23,23,I observed someone attempting to access the roof through the fire escape.
42,45,190,"From my apartment, I saw flashlights moving through the building long after closing."
43,67,12,I heard the sound of spray paint cans being used inside the closed gallery.
44,89,278,"While closing up, I noticed someone had propped open several emergency exits."
